field_code,time,lai_mean,lai_std,lai_10pc,lai_90pc
1029ZIN,2021-09-23,1.5413725982229347,0.3292172733777841,1.1861395891216355,2.0434475515108357
1029ZIN,2021-09-25,1.5447319118719356,0.32196433093448,1.1976190549846206,2.048563803136853
1029ZIN,2021-09-27,1.542787925560434,0.31550388576990723,1.204058252208537,2.0522362919501362
1029ZIN,2021-09-27,1.542787925560434,0.31550388576990723,1.204058252208537,2.0522362919501362
1029ZIN,2021-09-27,1.542787925560434,0.31550388576990723,1.204058252208537,2.0522362919501362
1029ZIN,2021-09-27,1.542787925560434,0.31550388576990723,1.204058252208537,2.0522362919501362
1029ZIN,2021-09-28,1.540380341006152,0.3118865927068509,1.2058730058125535,2.0539104914017683
1029ZIN,2021-09-29,1.536261493781089,0.3089342166972984,1.2058393041157,2.0529533781704528
1029ZIN,2021-09-29,1.536261493781089,0.3089342166972984,1.2058393041157,2.0529533781704528
1029ZIN,2021-10-02,1.5189127783385818,0.29693112579587166,1.2025045187478447,2.0276568197701517
1029ZIN,2021-10-03,1.5118664416965966,0.29327754745814794,1.1998224487146658,2.020117354073883
1029ZIN,2021-10-04,1.5035799608795297,0.2891113625281682,1.1972490960942614,2.005018569275061
1029ZIN,2021-10-05,1.4947904946388757,0.2851942296902317,1.1961473490451653,1.9935911229706262
1029ZIN,2021-10-05,1.4947904946388757,0.2851942296902317,1.1961473490451653,1.9935911229706262
1029ZIN,2021-10-05,1.4947904946388757,0.2851942296902317,1.1961473490451653,1.9935911229706262
1029ZIN,2021-10-06,1.4858355203165505,0.28121983591297955,1.1923559572365074,1.9814088180745535
1029ZIN,2021-10-07,1.4762757750296258,0.2773409733792848,1.1872917912706549,1.9666618881030824
1029ZIN,2021-10-07,1.4762757750296258,0.2773409733792848,1.1872917912706549,1.9666618881030824
1029ZIN,2021-10-09,1.4561525741692165,0.2681328070496907,1.1764336654159764,1.9274743246367498
1029ZIN,2021-10-09,1.4561525741692165,0.2681328070496907,1.1764336654159764,1.9274743246367498
1029ZIN,2021-10-11,1.4332815209640668,0.25761808271259773,1.1654996241456939,1.8906272407818334
1029ZIN,2021-10-12,1.4205229595602202,0.2520876636723705,1.1587820623351874,1.8700153482289519
1029ZIN,2021-10-12,1.4205229595602202,0.2520876636723705,1.1587820623351874,1.8700153482289519
1029ZIN,2021-10-12,1.4205229595602202,0.2520876636723705,1.1587820623351874,1.8700153482289519
1029ZIN,2021-10-14,1.392133625208691,0.23992860663038262,1.1433918788841686,1.8167124296187518
1029ZIN,2021-10-14,1.392133625208691,0.23992860663038262,1.1433918788841686,1.8167124296187518
1029ZIN,2021-10-15,1.3763400383975501,0.23336545135428344,1.1344226323191786,1.7903145449573141
1029ZIN,2021-10-15,1.3763400383975501,0.23336545135428344,1.1344226323191786,1.7903145449573141
1029ZIN,2021-10-15,1.3763400383975501,0.23336545135428344,1.1344226323191786,1.7903145449573141
1029ZIN,2021-10-17,1.3437089983734583,0.21957870593797774,1.1160451076698161,1.7383425313378609
1029ZIN,2021-10-21,1.268450373859613,0.18997947670720006,1.0684135905197325,1.6055302528693345
1029ZIN,2021-10-22,1.2474340908564665,0.18109820801860724,1.057061629214683,1.5690944582771342
1029ZIN,2021-10-22,1.2474340908564665,0.18109820801860724,1.057061629214683,1.5690944582771342
1029ZIN,2021-10-24,1.2029507289220838,0.1645600430118093,1.0314509602913524,1.4938271241547256
1029ZIN,2021-10-24,1.2029507289220838,0.1645600430118093,1.0314509602913524,1.4938271241547256
1029ZIN,2021-10-26,1.153864171211616,0.14649795454191675,1.0038879934369143,1.4104349885934193
1029ZIN,2021-10-26,1.153864171211616,0.14649795454191675,1.0038879934369143,1.4104349885934193
1029ZIN,2021-10-26,1.153864171211616,0.14649795454191675,1.0038879934369143,1.4104349885934193
1029ZIN,2021-10-26,1.153864171211616,0.14649795454191675,1.0038879934369143,1.4104349885934193
1029ZIN,2021-10-29,1.0723968350567454,0.12026085604615012,0.9533708633061637,1.2739223299293272
1029ZIN,2021-10-29,1.0723968350567454,0.12026085604615012,0.9533708633061637,1.2739223299293272
1029ZIN,2021-10-30,1.0430012931544264,0.11253117634354445,0.9329322998181353,1.2253507641271808
