REGION,DISTRICT,YEAR,CROP,AREA (Ha),YIELD (Mt/Ha),PRODUCTION (Mt),,
ASHANTI,Ejura Sekyedumase,2014,Rice,3068.45,2.98,9152.35,,
ASHANTI,Mampong Municipal (Sekyere West) ,2014,Rice,39.95,2.78,110.93,,
ASHANTI,Sekyere Central,2014,Rice,65.17,2.98,194.4,,
ASHANTI,Sekyere East,2014,Rice,139.81,2.47,345.11,,
ASHANTI,Sekyere Afram Plains,2014,Rice,88.3,2.88,254.29,,
ASHANTI,Sekyere South,2014,Rice,95.13,2.78,264.19,,
ASHANTI,Afigya Kwabre,2014,Rice,153.48,2.67,410.42,,
ASHANTI,Ahafo Ano North,2014,Rice,412.07,3.7,1525.77,,
ASHANTI,Ahafo Ano South,2014,Rice,785.25,3.7,2907.53,,
ASHANTI,Atwima Mponua,2014,Rice,850.42,2.88,2449.1,,
ASHANTI,Atwima Nwabiagya,2014,Rice,503.52,3.39,1709.03,,
ASHANTI,Ejusu Juaben,2014,Rice,579.21,3.6,2085.07,,
ASHANTI,Bosumtwe,2014,Rice,163.99,2.67,438.53,,
ASHANTI,Atwima Kwanwoma,2014,Rice,233.37,2.67,624.06,,
ASHANTI,Kwabre East,2014,Rice,97.76,2.67,261.43,,
ASHANTI,Offinso,2014,Rice,163.99,2.98,489.13,,
ASHANTI,Offinso North,2014,Rice,265.95,3.09,820.62,,
ASHANTI,Adansi North,2014,Rice,350.05,2.88,1008.1,,
ASHANTI,Obuasi Municipal (Adansi West),2014,Rice,50.46,2.78,140.12,,
ASHANTI,Adansi  South (East),2014,Rice,1944.72,2.78,5400.52,,
ASHANTI,Asante Akim North,2014,Rice,432.04,3.29,1421.98,,
ASHANTI,Asante Akim South,2014,Rice,400.51,2.47,988.64,,
ASHANTI,K. M. A.,2014,Rice,66.23,3.19,211.16,,
ASHANTI,Bekwai municipal (Amansie East),2014,Cassava,4309,26,112034,,
ASHANTI,Bosome Freho,2014,Cassava,2203,18.5,40755.5,,
ASHANTI,Amansie Central,2014,Cassava,6547,17.3,113263.1,,
ASHANTI,Amansie West,2014,Cassava,3520,26,91520,,
ASHANTI,Ejura Sekyedumase,2014,Cassava,3422,16,54752,,
ASHANTI,Mampong Municipal (Sekyere West) ,2014,Cassava,6902,22,151844,,
ASHANTI,Sekyere Central,2014,Cassava,5262,22,115764,,
ASHANTI,Sekyere East,2014,Cassava,3352,41,137432,,
ASHANTI,Sekyere Afram Plains,2014,Cassava,1582,20,31640,,
ASHANTI,Sekyere South,2014,Cassava,4362,18,78516,,
ASHANTI,Afigya Kwabre,2014,Cassava,4262,18,76716,,
ASHANTI,Ahafo Ano North,2014,Cassava,6880,18,123840,,
ASHANTI,Ahafo Ano South,2014,Cassava,11957,19.5,233161.5,,
ASHANTI,Atwima Mponua,2014,Cassava,5351,19,101669,,
ASHANTI,Atwima Nwabiagya,2014,Cassava,6452,21,135492,,
ASHANTI,Ejusu Juaben,2014,Cassava,5901,19,112119,,
ASHANTI,Bosumtwe,2014,Cassava,2180,18,39240,,
ASHANTI,Atwima Kwanwoma,2014,Cassava,3101,18,55818,,
ASHANTI,Kwabre East,2014,Cassava,4200,18,75600,,
ASHANTI,Offinso,2014,Cassava,4511,20,90220,,
ASHANTI,Offinso North,2014,Cassava,6951,16,111216,,
ASHANTI,Adansi North,2014,Cassava,6881,20,137620,,
ASHANTI,Obuasi Municipal (Adansi West),2014,Cassava,333,20,6660,,
ASHANTI,Adansi  South (East),2014,Cassava,6781,20,135620,,
ASHANTI,Asante Akim North,2014,Cassava,4901,20,98020,,
ASHANTI,Asante Akim South,2014,Cassava,7100,20,142000,,
ASHANTI,K. M. A.,2014,Cassava,382,15,5730,,
ASHANTI,Bekwai municipal (Amansie East),2014,Yam,503,11.5,5784.5,,
ASHANTI,Bosome Freho,2014,Yam,197,14.5,2856.5,,
