REGION,DISTRICT,YEAR,CROP,YIELD,SAVANNAH
NORTHERN ,Nanumba South,2008,MAIZE,2,
NORTHERN ,Saboba,2008,MAIZE,1.2,
NORTHERN ,Savelugu Nanton,2008,MAIZE,1.4,
NORTHERN ,Sawla/Tuna/Kalba,2008,MAIZE,1.75,
NORTHERN ,Tamale Metro,2008,MAIZE,1.9,
NORTHERN ,Tolon,2008,MAIZE,1.5,
NORTHERN ,Kumbungu,2008,MAIZE,1.5,
NORTHERN ,West Gonja,2008,MAIZE,1.8,
NORTHERN ,West Mamprusi,2008,MAIZE,1.9,
NORTHERN ,Yendi,2008,MAIZE,1.04,
NORTHERN ,Zabzugu,2008,MAIZE,2,
NORTHERN ,Tatale,2008,MAIZE,2,
NORTHERN ,Bole,2008,GROUNDNUT,1.2,
NORTHERN ,Bunkpurugu Yonyo,2008,GROUNDNUT,0.72,
NORTHERN ,Central Gonja,2008,GROUNDNUT,0.7,
NORTHERN ,East Gonja,2008,GROUNDNUT,2,
NORTHERN ,East Mamprusi,2008,GROUNDNUT,1.2,
NORTHERN ,Gushiegu,2008,GROUNDNUT,1.35,
NORTHERN ,Karaga,2008,GROUNDNUT,0.5,
NORTHERN ,Nanumba North,2008,GROUNDNUT,1,
NORTHERN ,Nanumba South,2008,GROUNDNUT,1,
NORTHERN ,Saboba,2008,GROUNDNUT,1.8,
NORTHERN ,Savelugu Nanton,2008,GROUNDNUT,1.8,
NORTHERN ,Sawla/Tuna/Kalba,2008,GROUNDNUT,0.76,
NORTHERN ,Tamale Metro,2008,GROUNDNUT,1.5,
NORTHERN ,Tolon,2008,GROUNDNUT,1.5,
NORTHERN ,Kumbungu,2008,GROUNDNUT,1.5,
NORTHERN ,West Gonja,2008,GROUNDNUT,1.1,
NORTHERN ,West Mamprusi,2008,GROUNDNUT,1,
NORTHERN ,Yendi,2008,GROUNDNUT,0.99,
NORTHERN ,Zabzugu,2008,GROUNDNUT,1.6,
NORTHERN ,Tatale,2008,GROUNDNUT,1.6,
NORTHERN ,Bole,2008,  COWPEA,0.8,
NORTHERN ,Bunkpurugu Yonyo,2008,  COWPEA,1.5,
